,name_x,city_x,index_dbase1,index_dbase2,status,JOB_START_DATE,JOB_END_DATE,EMPLOYER_STATE,name_y,city_y,st_cd,name,h2a_violtn_cnt,findings_start_date,findings_end_date,city,ld_dt
79,1.0,1.0,10875,247471,CERTIFICATION,2018-05-04,2018-08-15,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
80,1.0,1.0,11003,247471,CERTIFICATION,2018-05-18,2018-09-23,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
81,1.0,1.0,11007,247471,CERTIFICATION,2018-05-22,2018-08-22,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
82,1.0,1.0,11252,247471,CERTIFICATION,2018-05-21,2018-09-09,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
83,1.0,1.0,11298,247471,CERTIFICATION,2018-05-24,2018-08-31,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
84,1.0,1.0,14451,247471,CERTIFICATION,2018-08-31,2019-01-09,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
85,1.0,1.0,3823,255264,CERTIFICATION,2018-01-16,2018-06-19,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
86,1.0,1.0,3826,255264,CERTIFICATION,2018-01-19,2018-07-13,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
87,1.0,1.0,5190,255264,CERTIFICATION,2018-01-22,2018-07-22,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
88,1.0,1.0,5392,255264,CERTIFICATION,2018-02-01,2018-07-13,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
89,1.0,1.0,5470,255264,CERTIFICATION,2018-02-01,2018-07-18,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
90,1.0,1.0,5497,255264,CERTIFICATION,2018-02-07,2018-07-24,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
91,1.0,1.0,5560,255264,CERTIFICATION,2018-02-01,2018-07-16,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
92,1.0,1.0,9107,255264,CERTIFICATION,2018-03-28,2018-07-23,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
93,1.0,1.0,9473,255264,CERTIFICATION,2018-04-09,2018-08-16,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
94,1.0,1.0,9508,255264,CERTIFICATION,2018-04-02,2018-08-29,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
95,1.0,1.0,9623,255264,CERTIFICATION,2018-03-30,2018-08-19,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
96,1.0,1.0,10875,255264,CERTIFICATION,2018-05-04,2018-08-15,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
97,1.0,1.0,11003,255264,CERTIFICATION,2018-05-18,2018-09-23,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
98,1.0,1.0,11007,255264,CERTIFICATION,2018-05-22,2018-08-22,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
99,1.0,1.0,11252,255264,CERTIFICATION,2018-05-21,2018-09-09,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
100,1.0,1.0,11298,255264,CERTIFICATION,2018-05-24,2018-08-31,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
101,1.0,1.0,14451,255264,CERTIFICATION,2018-08-31,2019-01-09,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",0,2017-02-26,2017-03-17,SALINAS,2017-11-06 11:04:32-05:00
102,1.0,1.0,3823,258261,CERTIFICATION,2018-01-16,2018-06-19,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-04-15,2015-07-31,SALINAS,2018-08-14 00:04:07-04:00
103,1.0,1.0,3826,258261,CERTIFICATION,2018-01-19,2018-07-13,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-04-15,2015-07-31,SALINAS,2018-08-14 00:04:07-04:00
104,1.0,1.0,5190,258261,CERTIFICATION,2018-01-22,2018-07-22,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-04-15,2015-07-31,SALINAS,2018-08-14 00:04:07-04:00
105,1.0,1.0,5392,258261,CERTIFICATION,2018-02-01,2018-07-13,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-04-15,2015-07-31,SALINAS,2018-08-14 00:04:07-04:00
106,1.0,1.0,5470,258261,CERTIFICATION,2018-02-01,2018-07-18,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-04-15,2015-07-31,SALINAS,2018-08-14 00:04:07-04:00
107,1.0,1.0,5497,258261,CERTIFICATION,2018-02-07,2018-07-24,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-04-15,2015-07-31,SALINAS,2018-08-14 00:04:07-04:00
108,1.0,1.0,5560,258261,CERTIFICATION,2018-02-01,2018-07-16,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-04-15,2015-07-31,SALINAS,2018-08-14 00:04:07-04:00
